trd_side,order_type,order_status,order_id,code,stock_name,qty,price,create_time,updated_time,dealt_qty,dealt_avg_price,last_err_msg,remark
SELL,ABSOLUTE_LIMIT,FILLED_ALL,512679185349017559,HK.00388,香港交易所,100.0,375.0,2020-08-17 10:20:35,2020-08-17 10:21:12,100.0,375.0,,
SELL,ABSOLUTE_LIMIT,FILLED_ALL,512678652773070815,HK.00388,香港交易所,100.0,375.0,2020-08-17 10:19:32,2020-08-17 10:20:28,100.0,375.0,,
SELL,ABSOLUTE_LIMIT,FILLED_ALL,512678657068038110,HK.02382,舜宇光学科技,100.0,147.6,2020-08-17 10:19:32,2020-08-17 10:19:35,100.0,147.6,,
BUY,ABSOLUTE_LIMIT,FILLED_ALL,512678644183136209,HK.02313,申洲国际,100.0,110.5,2020-08-17 10:19:31,2020-08-17 10:19:33,100.0,110.5,,
BUY,ABSOLUTE_LIMIT,FAILED,512678648478103504,HK.01299,友邦保险,200.0,76.25,2020-08-17 10:19:31,2020-08-17 10:19:32,0.0,0.0,,
SELL,ABSOLUTE_LIMIT,FILLED_ALL,512678622708299734,HK.02382,舜宇光学科技,100.0,147.7,2020-08-17 10:18:28,2020-08-17 10:18:56,100.0,147.7,,
SELL,ABSOLUTE_LIMIT,FILLED_ALL,512678077247451089,HK.02382,舜宇光学科技,100.0,147.8,2020-08-17 10:17:24,2020-08-17 10:23:24,100.0,147.8,,
BUY,ABSOLUTE_LIMIT,CANCELLED_ALL,512678068657516503,HK.02313,申洲国际,100.0,110.3,2020-08-17 10:17:23,2020-08-17 16:30:09,0.0,0.0,,
BUY,ABSOLUTE_LIMIT,FILLED_ALL,512678072952483792,HK.00011,恒生银行,100.0,124.9,2020-08-17 10:17:23,2020-08-17 10:17:24,100.0,124.9,,
BUY,ABSOLUTE_LIMIT,CANCELLED_ALL,512677514606733264,HK.02313,申洲国际,100.0,110.3,2020-08-17 10:16:20,2020-08-17 16:30:09,0.0,0.0,,
BUY,ABSOLUTE_LIMIT,FILLED_ALL,512677518901700563,HK.00011,恒生银行,100.0,125.0,2020-08-17 10:16:20,2020-08-17 10:16:54,100.0,125.0,,
SELL,ABSOLUTE_LIMIT,FILLED_ALL,512677523196667858,HK.02382,舜宇光学科技,100.0,147.3,2020-08-17 10:16:20,2020-08-17 10:16:42,100.0,147.4,,
SELL,ABSOLUTE_LIMIT,FILLED_ALL,512677497426864084,HK.01044,恒安国际,500.0,68.4,2020-08-17 10:15:17,2020-08-17 10:15:18,500.0,68.4,,
BUY,ABSOLUTE_LIMIT,FILLED_ALL,512675813799677906,HK.02313,申洲国际,100.0,110.3,2020-08-17 10:07:52,2020-08-17 10:11:49,100.0,110.3,,
BUY,ABSOLUTE_LIMIT,FAILED,512675818094645203,HK.00011,恒生银行,100.0,124.9,2020-08-17 10:07:52,2020-08-17 10:07:52,0.0,0.0,,
BUY,ABSOLUTE_LIMIT,FAILED,512675822389612500,HK.02382,舜宇光学科技,100.0,147.5,2020-08-17 10:07:52,2020-08-17 10:07:52,0.0,0.0,,
BUY,ABSOLUTE_LIMIT,FILLED_ALL,512675826684579797,HK.00823,领展房产基金,100.0,63.4,2020-08-17 10:07:52,2020-08-17 10:07:53,100.0,63.4,,
BUY,ABSOLUTE_LIMIT,FILLED_ALL,512606613286852180,HK.02382,舜宇光学科技,100.0,147.9,2020-08-17 10:02:22,2020-08-17 10:02:25,100.0,147.9,,
BUY,ABSOLUTE_LIMIT,FILLED_ALL,512606617581819475,HK.00023,东亚银行,200.0,18.16,2020-08-17 10:02:22,2020-08-17 10:02:25,200.0,18.16,,
BUY,ABSOLUTE_LIMIT,FILLED_ALL,512606076415942239,HK.00023,东亚银行,200.0,18.16,2020-08-17 10:01:13,2020-08-17 10:01:14,200.0,18.16,,
BUY,ABSOLUTE_LIMIT,FILLED_ALL,512606072120974942,HK.02382,舜宇光学科技,100.0,147.9,2020-08-17 10:01:12,2020-08-17 10:01:13,100.0,147.9,,
BUY,ABSOLUTE_LIMIT,FILLED_ALL,512606054941105746,HK.00023,东亚银行,200.0,18.16,2020-08-17 10:00:10,2020-08-17 10:00:35,200.0,18.16,,
SELL,ABSOLUTE_LIMIT,FILLED_ALL,512605513775244880,HK.00011,恒生银行,100.0,124.1,2020-08-17 09:59:06,2020-08-17 10:00:26,100.0,124.3,,
SELL,ABSOLUTE_LIMIT,FILLED_ALL,512606037761236566,HK.02313,申洲国际,100.0,109.0,2020-08-17 09:59:06,2020-08-17 09:59:08,100.0,109.0,,
BUY,ABSOLUTE_LIMIT,FILLED_ALL,512605509480277585,HK.02382,舜宇光学科技,100.0,147.5,2020-08-17 09:59:05,2020-08-17 09:59:08,100.0,147.5,,
SELL,ABSOLUTE_LIMIT,FILLED_ALL,512605479415506520,HK.00011,恒生银行,100.0,123.8,2020-08-17 09:58:02,2020-08-17 09:58:18,100.0,123.8,,
BUY,ABSOLUTE_LIMIT,FILLED_ALL,512604921069760090,HK.02382,舜宇光学科技,100.0,147.5,2020-08-17 09:55:49,2020-08-17 09:55:51,100.0,147.5,,
SELL,ABSOLUTE_LIMIT,FILLED_ALL,512604371313948254,HK.00005,汇丰控股,400.0,34.45,2020-08-17 09:53:43,2020-08-17 09:55:45,400.0,34.45,,
BUY,ABSOLUTE_LIMIT,FILLED_ALL,512603800083299929,HK.01044,恒安国际,500.0,68.2,2020-08-17 09:51:36,2020-08-17 09:51:37,500.0,68.2,,
